Nom;Latitude;Longitude
CIAP;47,31801987;5,030262947
CIMETIERE DOUCHES PEJOCES;47,30373383;5,063946724
CMS LAMARTINE - RDC D;47,3408165;5,055821419
COM GS ALSACE BATIMENT LOGEMENTS;47,32148743;5,0051651
COM GS CHAMPS PERDRIX BATIMENT LOGEMENT;47,32077789;5,001889706
COM GS MANSART LOGEMENTS;47,30929565;5,061264515
COM GS YORK BATIMENT F;47,33387375;5,05987215
COMMUN CAGE 1 LOGEMENTS GS FLAMMARION;47,33078384;5,062693119
COMPLEXE SPORTIF EPIREY;47,33246613;5,069169521
CONSERVATOIRE ANNEXE COLMAR;47,32666016;5,053876877
CONSERVATOIRE RAMEAU;47,32681656;5,04600668
COSEC F OUCHE SALLE DE SPORTS;47,31570816;5,003341198
COSEC KENNEDY;47,30868149;5,034669399
CTRE LOISIRS DES GRESILLES;47,33021927;5,073118687
CTRE LOISIRS MARIE NOEL;47,31673431;5,007638454
CTRE SOC DU PARC ANNEXE1 DEBUSSY;47,33341217;5,033984661
CUISINE CENTRALE;47,34410477;5,05875206
DEPOT SECTEUR SEVE BOURILLOT;47,29865646;5,052635193
DEPOT SEVE CIMETIERE;47,30755615;5,066009998
DEPOT SEVE THIBAUDOT+COM QUART;47,31887817;5,024664402
DIJON PLAGE;47,32414627;5,008719444
DIJON SKATE PARC;47,33098984;5,052787304
ECOLE MUNICIPALE DES SPORTS JC MELINAND;47,32457733;4,993675709
EGLISE SAINT PHILIBERT;47,32095718;5,035264969
EGLISE ST JOSEPH;47,33024979;5,037602425
EGLISE STE CHANTAL;47,31502533;5,02316618
EP KIOSQUE WILSON;47,31554413;5,042753696
FONTAINE;47,32646561;5,046435356
FONTAINE GRANVILLE;47,34992599;5,052170277
GARAGE MUNICIPAL POSTE VOIRIE;47,34343338;5,062697887
GS ALAIN MILLOT;47,3430748;5,041895866
GS ALSACE;47,32180786;5,003422737
GS ANJOU;47,32350922;4,999809265
GS ANJOU APPT 3 - LOCAUX DE POSE;47,32350922;4,999192715
GS BAKER;47,31751251;5,039717674
GS BAUDELAIRE;47,35076141;5,04275465
GS BEAUMARCHAIS;47,34267807;5,048478127
GS BUFFON;47,32231903;4,996197701
GS CHAMPOLLION;47,33177567;5,07116127
GS CHAMPS PERDRIX;47,32077789;5,001889706
GS CHATEAU DE POUILLY;47,35031128;5,050603867
GS CHEVREUL;47,3090744;5,0389328
GS CLEMENCEAU MATERNELLE;47,32693863;5,050325394
GS COLETTE;47,31774139;5,001097679
GS COLOMBIERE;47,3011055;5,043291569
GS COTEAUX DU SUZON;47,35075378;5,044074535
GS DAMPIERRE;47,31820297;5,045307159
GS DARCY;47,32275772;5,032694817
GS DEVOSGE;47,32719421;5,041840076
GS DRAPEAU;47,33491898;5,043936253
GS EIFFEL;47,31140137;5,005238533
GS FLAMMARION;47,33078384;5,062693119
GS FLAMMARION - Logement 10;47,33078384;5,062693119
GS FLAMMARION - Logement 9;47,33078384;5,062693119
GS HUGO;47,33252335;5,019429207
GS HUGO AB;47,33226013;5,019261837
GS JEAN JAURES;47,31412888;5,028584003
GS LALLEMAND;47,31661224;5,004612923
GS LALLEMAND - LOGEMENT 5;47,31598663;5,006916523
GS LAMARTINE;47,34081268;5,057206154
GS LARREY;47,31348419;5,014980793
GS LARREY - APPARTEMENT 4;47,3134346;5,014525414
GS LARREY BCHIJ;47,31248093;5,014342308
GS MALADIERE;47,33589172;5,050683022
GS MALADIERE - LOGEMENT EN TRAVAUX;47,33595276;5,050198078
GS MANSART;47,30921555;5,059478283
GS MANSART H;47,30929565;5,061264515
GS MONTCHAPET;47,33117294;5,031758785
GS MONTMUZARD;47,32546234;5,064286709
GS MONTS DE VIGNES;47,30500031;5,015637875
GS NORD;47,32561874;5,043144226
GS OUEST ELEMENTAIRE;47,32333755;5,018085003
GS OUEST MATERNELLE;47,32352066;5,018325806
GS PAULETTE LEVY;47,31202316;5,026700497
GS PETIT BERNARD;47,30719757;5,035158634
GS PETIT CITEAUX;47,31383514;5,034312248
GS PETITES ROCHES;47,31448364;5,057608604
GS PLEIN AIR;47,31474686;4,999930859
GS TIVOLI;47,31672287;5,035170555
GS TREMOUILLE;47,3259964;5,041212559
GS VALENDONS;47,30404282;5,011023998
GS VOLTAIRE;47,31401825;5,050835133
GS YORK;47,33352661;5,059763908
GS YORK LOGEMENT 6 ¿ SCOLAIRE;47,33387375;5,05987215
GYMNASE BOIVIN;47,33187866;5,036636829
GYMNASE DES LENTILLERES;47,30448151;5,050690651
GYMNASE DES MARMUZOTS;47,32723236;5,017798901
GYMNASE HENRI DUNANT;47,30305481;5,015506744
GYMNASE JUNOT ¿ SALLE DE QUARTIER;47,33922958;5,045690536
HALLE 38;47,33297729;5,045979023
HALLES BONNOTTES;47,310009;5,026266098
HALTE GARDERIE MANSART;47,3090477;5,058146954
HALTE GARDERIE PETIT CITEAUX;47,31431198;5,035806656
HORLOGE NOTRE DAME;47,32226181;5,041352749
HOTEL DE VOGUE;47,32257462;5,042263508
INSTALLATIONS SPORTS LAC KIR;47,3209343;5,012392521
JARDIN BREL EV GRIMM;47,31040192;5,007966995
JARDIN CARRIERES BACQUIN;47,32694244;5,017920494
JARDIN CLEMENCEAU;47,32693863;5,050325394
JARDIN COLOMBIERE GREUSE ABH;47,30141449;5,043843746
JARDIN DE L ARQUEBUSE;47,32027054;5,029182434
JARDIN DE LARREY BASSIN;47,3134079;5,013272762
JARDIN PLACE DES DUCS;47,32224655;5,042425156
JARDIN SISLEY;47,31695557;5,042716503
JEI;47,32177353;5,05290556
JEI;47,32331467;5,038961887
JEI;47,3507309;5,039666176
JEI;47,32164764;5,065285683
LA MAISON  (SALLE DE QUARTIER);47,3185463;5,007799149
LCR GUTEMBERG;47,3299408;5,071398258
LCR MANSART;47,30854416;5,060945511
LCR PETIT CITEAUX;47,31451035;5,035118103
LCR TILLOT;47,32072067;5,034995556
LCR UNIVERSITE;47,31323242;5,05681324
LOCAL ASSOC ART GRAPHIQ RAMEAU;47,32128143;5,042266846
LOCAL ASSOCIATIF;47,3219986;5,001339912
LOCAL ASSOCIATIF CHAPLIN;47,31459427;5,034932137
LOCAL ASSOCIATIF DEVOSGE;47,3245163;5,034471035
LOCAL ASSOCIATION;47,32107544;5,044237137
LOCAL COM QUART+ASSOC VINCI;47,30304337;5,010360241
LOCAL CONS MUNIC PARMENTIER 1ER;47,32936859;5,047825813
LOCAL LCR PLEIN DE POUILLY;47,34408188;5,046005726
LOCAL LES CHANTALISTES;47,31468964;5,022139549
LOCAL POLICE MUNICIPALE FONTAINE D¿OUCHE;47,31960678;5,001149178
LOCAUX ASSOCIATIFS - EDOUARD BELIN;47,32195282;5,001262188
LOCAUX ASSOCIATIFS - GS ALAIN MILLOT;47,34321213;5,043376923
LOCAUX ASSOCIATIFS - HENRI CHRETIEN;47,33301926;5,065135479
LOCAUX ASSOCIATIFS DRAPEAU;47,33457565;5,0436759
LOGEMENT 1 GS FLAMMARION;47,33078384;5,062693119
LOGEMENT 2 GS FLAMMARION;47,33078384;5,062693119
LOGEMENT 8 GS FLAMMARION;47,33078384;5,062693119
LOGEMENT ADEFO;47,34484863;5,042441845
LOGEMENT CONCIERGE;47,33125687;5,065462112
LOGEMENT ECOLE;47,30929565;5,061264515
LOGT COLETTE - APPT 1;47,31798553;5,000883579
MAIRIE ANNEXE BOURROCHES VALENDONS;47,30964661;5,016161919
MAIRIE ANNEXE DES GRESILLES;47,33125687;5,065462112
MAIRIE ANNEXE TOISON D'OR;47,35055161;5,052241325
MAIRIE DE DIJON-APPT N8 GS MANSART;47,30929565;5,061264515
MAISON ADEFO;47,34302902;5,037816048
MAISON DES ASSOCIATIONS;47,31528091;5,031579018
Maison logement 1er Etage;47,30347824;5,024225712
Maison logement RDC;47,30347824;5,024225712
MAISON PH GUIGNARD;47,30257034;5,055458069
